"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         175,      -4.377388882,      -3.704082168,      -3.866551254,      -10.03163181
          0,           0,         176,       -4.37823147,      -3.702093972,      -3.866387024,      -10.02584992
          0,           0,         177,       -4.37911623,      -3.700172063,      -3.866494275,      -10.01999291
          0,           0,         178,        -4.3799736,      -3.698316993,      -3.866804257,       -10.0140238
          0,           0,         179,      -4.380748037,      -3.696537544,      -3.867256981,      -10.00805066
          0,           0,         180,        -4.3813931,      -3.694852713,      -3.867812206,      -10.00202033
          0,           0,         181,       -4.38188454,      -3.693284341,      -3.868442658,      -9.995974851
          0,           0,         182,      -4.382202759,      -3.691859944,      -3.869148741,      -9.989854526
          0,           0,         183,      -4.382341615,      -3.690605758,      -3.869946082,      -9.983764404
          0,           0,         184,      -4.382299972,      -3.689545465,      -3.870866377,      -9.977710588
          0,           0,         185,      -4.382078651,      -3.688697251,       -3.87195116,       -9.97164301
          0,           0,         186,      -4.381679991,      -3.688070732,      -3.873240584,      -9.965618503
          0,           0,         187,      -4.381097554,      -3.687667963,      -3.874780302,      -9.959754173
          0,           0,         188,      -4.380325037,      -3.687480394,      -3.876601941,      -9.954036678
          0,           0,         189,      -4.379358425,      -3.687488288,      -3.878715641,      -9.948380963
          0,           0,         190,      -4.378192972,      -3.687662273,      -3.881116047,      -9.942884604
          0,           0,         191,       -4.37682667,      -3.687965401,      -3.883781269,      -9.937639511
          0,           0,         192,      -4.375275882,      -3.688352251,      -3.886643858,      -9.932527773
          0,           0,         193,      -4.373565005,      -3.688773866,      -3.889622568,      -9.927581092
          0,           0,         194,       -4.37173061,       -3.68918029,      -3.892615204,      -9.922910871
          0,           0,         195,      -4.369821619,      -3.689524946,      -3.895505281,      -9.918509613
          0,           0,         196,      -4.367900314,      -3.689767687,      -3.898164076,       -9.91422021
          0,           0,         197,      -4.366041411,      -3.689877073,      -3.900454736,      -9.910230458
          0,           0,         198,      -4.364322418,      -3.689834579,      -3.902256346,      -9.906557015
          0,           0,         199,      -4.362821861,      -3.689635892,      -3.903466458,      -9.903154842
          0,           0,         200,      -4.361615942,      -3.689291947,      -3.904009227,      -9.899957165
          0,           0,         201,      -4.360775255,      -3.688828402,      -3.903841612,      -9.897071656
          0,           0,         202,      -4.360362117,      -3.688283908,      -3.902956612,      -9.894513413
          0,           0,         203,      -4.360428712,      -3.687707451,      -3.901383304,      -9.892127827
          0,           0,         204,      -4.361016089,      -3.687155194,      -3.899184436,      -9.889982325
          0,           0,         205,      -4.362155086,       -3.68668574,      -3.896447244,      -9.888145227
          0,           0,         206,      -4.363864411,      -3.686357357,      -3.893280281,      -9.886603777
          0,           0,         207,      -4.366149815,      -3.686225072,      -3.889807484,      -9.885242306
          0,           0,         208,      -4.369004805,      -3.686337219,      -3.886159565,      -9.884164439
          0,           0,         209,      -4.372410413,      -3.686733385,      -3.882468545,      -9.883412364
          0,           0,         210,      -4.376334406,      -3.687442761,      -3.878863701,      -9.882680554
          0,           0,         211,      -4.380730104,      -3.688483137,      -3.875468734,      -9.882071732
          0,           0,         212,      -4.385536289,      -3.689860591,      -3.872398573,      -9.881757739
          0,           0,         213,       -4.39067429,      -3.691568416,       -3.86975981,      -9.881630483
          0,           0,         214,      -4.396046386,      -3.693590473,       -3.86764877,      -9.881464917
          0,           0,         215,      -4.401534558,      -3.695900279,      -3.866152242,      -9.881280275
          0,           0,         216,      -4.407001127,      -3.698462677,      -3.865346302,      -9.881074529
          0,           0,         217,      -4.412290914,       -3.70123546,       -3.86529429,       -9.88069415
          0,           0,         218,      -4.417236889,      -3.704170665,      -3.866044599,      -9.880214847
          0,           0,         219,      -4.421663437,      -3.707216104,      -3.867628956,      -9.879635682
          0,           0,         220,      -4.425418329,      -3.710316837,      -3.870052179,      -9.878889073
          0,           0,         221,      -4.428368543,      -3.713418024,      -3.873287942,      -9.877844181
          0,           0,         222,      -4.430410352,      -3.716461531,      -3.877287903,      -9.876567387
          0,           0,         223,      -4.431484075,      -3.719390245,      -3.881974014,      -9.875026024
          0,           0,         224,      -4.431583926,      -3.722150921,      -3.887230585,      -9.873170526
          0,           0,         225,      -4.430762498,      -3.724695546,      -3.892900503,      -9.870911092
          0,           0,         226,      -4.429129541,      -3.726982416,      -3.898785869,      -9.868357433
          0,           0,         227,      -4.426844364,       -3.72897718,      -3.904653458,      -9.865361286
          0,           0,         228,      -4.424107209,      -3.730654554,      -3.910241957,      -9.862007677
          0,           0,         229,       -4.42114234,      -3.731999257,      -3.915278799,      -9.858301396
          0,           0,         230,      -4.418183793,      -3.733007209,      -3.919501196,      -9.854309927
          0,           0,         231,      -4.415462394,      -3.733686721,      -3.922680855,      -9.850047537
          0,           0,         232,      -4.413194875,      -3.734059256,      -3.924649486,      -9.845385296
          0,           0,         233,      -4.411575678,      -3.734159596,      -3.925320498,      -9.840407081
          0,           0,         234,      -4.410771328,      -3.734035386,      -3.924702061,      -9.835197563
          0,           0,         235,      -4.410916907,      -3.733746054,      -3.922898297,      -9.829808352
          0,           0,         236,      -4.412114035,      -3.733360982,      -3.920098148,      -9.824273524
          0,           0,         237,      -4.414430381,      -3.732956782,      -3.916553688,      -9.818559862
          0,           0,         238,      -4.417898947,       -3.73261591,      -3.912555675,      -9.812790225
          0,           0,         239,      -4.422515029,      -3.732422983,      -3.908407978,      -9.806986227
          0,           0,         240,       -4.42823612,       -3.73246164,      -3.904405201,      -9.801185054
          0,           0,         241,       -4.43498067,      -3.732811724,      -3.900815328,      -9.795420953
          0,           0,         242,      -4.442626697,      -3.733546509,      -3.897868077,      -9.789735232
          0,           0,         243,      -4.451010906,      -3.734730075,      -3.895748469,       -9.78411543
          0,           0,         244,      -4.459929309,      -3.736414888,      -3.894593976,      -9.778660784
          0,           0,         245,      -4.469141189,      -3.738639282,      -3.894492839,      -9.773358369
          0,           0,         246,      -4.478372496,      -3.741427155,      -3.895490751,      -9.768377916
          0,           0,         247,       -4.48733011,      -3.744785427,      -3.897585972,       -9.76357739
          0,           0,         248,      -4.495716899,      -3.748702821,      -3.900735255,       -9.75911973
          0,           0,         249,      -4.503253159,      -3.753149115,      -3.904855884,      -9.754923043
          0,           0,         250,      -4.509700365,      -3.758074695,      -3.909828012,       -9.75116351
          0,           0,         251,      -4.514885082,       -3.76341103,      -3.915498477,      -9.747700371
          0,           0,         252,      -4.518721058,      -3.769071443,      -3.921683535,      -9.744585771
          0,           0,         253,      -4.521215979,      -3.774951818,      -3.928176779,       -9.74182508
          0,           0,         254,      -4.522465764,      -3.780934117,      -3.934762161,      -9.739530421
