"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         184,      -3.933517942,      -1.273405999,      -1.426090061,         1.5590658,      -8.172887813
          0,           0,         185,      -3.952779535,      -1.292901802,       -1.44061284,       1.538633369,      -8.182444543
          0,           0,         186,        -3.9712092,      -1.313573382,      -1.451759562,       1.518541622,      -8.191805523
          0,           0,         187,      -3.989158401,      -1.335108914,       -1.45979319,       1.498451768,      -8.200978603
          0,           0,         188,      -4.006180277,      -1.357363618,      -1.465362506,       1.478765135,      -8.210052074
          0,           0,         189,      -4.022820627,      -1.380011047,      -1.469216826,        1.45899626,       -8.21891414
          0,           0,         190,      -4.038679369,       -1.40283651,      -1.472243418,       1.439650525,      -8.227420803
          0,           0,         191,       -4.05250327,      -1.425563931,      -1.475380067,       1.421984013,      -8.235524921
          0,           0,         192,       -4.06396289,      -1.447976711,      -1.479375535,       1.406491256,      -8.243050722
          0,           0,         193,       -4.07263429,      -1.469908475,      -1.484516537,       1.393798676,      -8.249833371
          0,           0,         194,      -4.078542225,      -1.491091857,      -1.491129562,       1.384170884,      -8.255636477
          0,           0,         195,      -4.081545308,      -1.511138999,      -1.499549164,       1.377950682,      -8.260314625
          0,           0,         196,       -4.08176791,      -1.529865925,      -1.509587281,       1.375198906,      -8.263813298
          0,           0,         197,      -4.079591943,      -1.547034134,      -1.521328586,       1.375597194,      -8.266340102
          0,           0,         198,      -4.075442319,      -1.562698495,      -1.534541149,       1.378681764,       -8.26806513
          0,           0,         199,      -4.070020589,      -1.576768695,      -1.549004607,       1.383641572,      -8.269142859
          0,           0,         200,      -4.064034792,      -1.588913378,      -1.564370192,       1.389614703,      -8.269628062
          0,           0,         201,      -4.057834164,      -1.599175397,      -1.580140305,       1.396116363,      -8.269946676
          0,           0,         202,      -4.052073283,      -1.607679727,      -1.595937561,       1.402309006,      -8.269902927
          0,           0,         203,      -4.047003056,      -1.614450115,      -1.610721869,       1.407925388,      -8.269712229
          0,           0,         204,      -4.042912604,      -1.619874188,      -1.624042854,       1.412519814,      -8.269591087
          0,           0,         205,      -4.039999261,      -1.624011504,      -1.635666355,        1.41587973,      -8.269548481
          0,           0,         206,       -4.03840469,      -1.627105142,       -1.64485014,       1.417820618,      -8.269539447
          0,           0,         207,      -4.038041145,      -1.629117063,      -1.651709425,       1.418396353,      -8.269616635
          0,           0,         208,      -4.038817849,      -1.630048139,       -1.65647462,       1.417665919,      -8.269791043
          0,           0,         209,      -4.040579847,      -1.630045605,      -1.659443055,       1.415797013,      -8.270146382
          0,           0,         210,      -4.043211263,      -1.629359151,      -1.660992229,       1.412890644,      -8.270690338
          0,           0,         211,      -4.046431019,      -1.628089424,      -1.661587878,       1.409268051,      -8.271381578
          0,           0,         212,        -4.0500088,      -1.626488011,      -1.661533061,       1.405178928,      -8.272298022
          0,           0,         213,      -4.053652457,      -1.624668606,       -1.66131021,       1.400930814,      -8.273260238
          0,           0,         214,      -4.057251655,      -1.622794468,      -1.661309296,       1.396642222,      -8.274196511
          0,           0,         215,       -4.06062072,      -1.620983779,      -1.661810406,       1.392527984,      -8.275048009
          0,           0,         216,      -4.063557593,      -1.619298358,      -1.663196357,       1.388829012,      -8.275770607
          0,           0,         217,      -4.065946823,      -1.617606897,      -1.665387342,       1.385694395,       -8.27636353
          0,           0,         218,      -4.067665731,      -1.616062301,      -1.668402128,       1.383269028,      -8.276826191
          0,           0,         219,      -4.068646839,      -1.614778326,      -1.672201799,       1.381636201,       -8.27712512
          0,           0,         220,      -4.068947068,      -1.613777664,      -1.676614253,       1.380762497,      -8.277407024
          0,           0,         221,      -4.068557924,      -1.613018712,      -1.681526513,       1.380679973,      -8.277487629
          0,           0,         222,      -4.067573116,      -1.612425337,      -1.686970387,        1.38129617,       -8.27747247
          0,           0,         223,      -4.066122171,      -1.611919107,      -1.692734315,       1.382476611,      -8.277532405
          0,           0,         224,      -4.064323582,      -1.611378309,      -1.698482531,       1.384092737,      -8.277654822
          0,           0,         225,       -4.06233955,       -1.61089117,      -1.703939622,        1.38596217,       -8.27783915
          0,           0,         226,      -4.060294981,      -1.610405236,      -1.708730021,       1.387945763,      -8.278118578
          0,           0,         227,      -4.058214707,      -1.609903556,      -1.712945013,       1.390010871,      -8.278519294
          0,           0,         228,       -4.05635056,      -1.609313009,      -1.716618265,        1.39187876,       -8.27889642
          0,           0,         229,      -4.054675231,      -1.608786019,      -1.719606399,       1.393567277,      -8.279246355
          0,           0,         230,      -4.053324569,      -1.608172682,      -1.721557424,       1.394939504,      -8.279507866
          0,           0,         231,      -4.052345707,      -1.607458127,      -1.722354468,       1.395949132,      -8.279653679
          0,           0,         232,      -4.051839904,      -1.606619586,       -1.72204077,       1.396503409,      -8.279803863
          0,           0,         233,      -4.051716719,      -1.605870457,      -1.720889097,        1.39668474,      -8.279888524
          0,           0,         234,      -4.052105282,      -1.604974548,      -1.718896961,       1.396366157,      -8.279869631
          0,           0,         235,      -4.052869753,      -1.604177312,      -1.716413817,       1.395684686,       -8.27985909
          0,           0,         236,      -4.054090815,       -1.60341188,      -1.713510328,       1.394565647,      -8.279928251
          0,           0,         237,      -4.055674221,      -1.602739278,      -1.710365995,       1.393100737,      -8.280062646
          0,           0,         238,      -4.057557696,      -1.602279122,      -1.707124968,       1.391349461,      -8.280291753
          0,           0,         239,      -4.059739381,      -1.601981385,      -1.703862959,       1.389312892,      -8.280476294
          0,           0,         240,      -4.062100321,       -1.60193462,      -1.700738579,       1.387114915,       -8.28053119
          0,           0,         241,      -4.064610353,      -1.602151243,       -1.69783958,       1.384783717,      -8.280475246
          0,           0,         242,      -4.067115835,      -1.602519198,      -1.695421287,       1.382458045,      -8.279946912
          0,           0,         243,      -4.069541981,      -1.603089255,      -1.693690619,       1.380216801,      -8.278999281
          0,           0,         244,      -4.071792626,      -1.603623026,      -1.692248043,       1.378143282,      -8.277654408
          0,           0,         245,      -4.073727599,      -1.604178449,      -1.691246502,       1.376359083,      -8.275957096
          0,           0,         246,      -4.075277927,      -1.604622518,      -1.690456989,       1.374924839,      -8.273878451
          0,           0,         247,      -4.076445224,      -1.604872986,      -1.690048638,        1.37382774,      -8.271440578
          0,           0,         248,      -4.077149533,      -1.604796883,      -1.689989761,       1.373133413,       -8.26867892
          0,           0,         249,      -4.077295774,      -1.604221161,      -1.689844698,       1.372923942,      -8.265672353
          0,           0,         250,      -4.076940157,      -1.603064565,      -1.689448738,       1.373134538,      -8.262448143
          0,           0,         251,      -4.076071729,      -1.601210639,      -1.688718153,       1.373768265,      -8.259142524
          0,           0,         252,       -4.07472212,      -1.598558402,      -1.687479394,       1.374792891,      -8.255824432
          0,           0,         253,      -4.072939364,      -1.595012136,       -1.68555472,       1.376167147,       -8.25232266
          0,           0,         254,      -4.070757297,      -1.590640039,      -1.682759567,       1.377863553,      -8.248565481
          0,           0,         255,      -4.068281964,       -1.58549987,      -1.678920814,       1.379785834,      -8.244651183
          0,           0,         256,       -4.06565114,      -1.579583436,      -1.673941517,       1.381808531,      -8.240448618
          0,           0,         257,       -4.06286854,      -1.573077453,      -1.667916292,        1.38395212,      -8.236122087
          0,           0,         258,      -4.060032808,      -1.566176836,      -1.660793153,       1.386130815,       -8.23176136
          0,           0,         259,      -4.057222003,      -1.559034853,      -1.652739078,       1.388293695,      -8.227489505
          0,           0,         260,       -4.05458271,      -1.551859972,      -1.643945836,       1.390324911,      -8.223398046
          0,           0,         261,      -4.052033675,      -1.544727841,      -1.634674534,        1.39233423,      -8.219444495
          0,           0,         262,      -4.049530955,      -1.537963194,      -1.625063425,       1.394373278,      -8.215655043
          0,           0,         263,      -4.047229964,       -1.53171488,      -1.615308639,       1.396305711,      -8.212081106
          0,           0,         264,      -4.045232961,      -1.526150489,       -1.60565714,       1.398052325,       -8.20883109
          0,           0,         265,      -4.043554959,      -1.521430585,      -1.596304003,       1.399618735,      -8.205861758
          0,           0,         266,      -4.042152839,      -1.517669847,      -1.587447374,       1.401070981,      -8.203271038
          0,           0,         267,      -4.040990463,      -1.515006448,      -1.579347843,       1.402459059,      -8.201172227
          0,           0,         268,      -4.040050847,        -1.5135615,      -1.572154937,       1.403806646,      -8.199557363
          0,           0,         269,      -4.039406707,      -1.513275865,      -1.565814721,       1.405051431,      -8.198358902
          0,           0,         270,      -4.038896842,      -1.514369177,      -1.560611335,       1.406346954,      -8.197556495
          0,           0,         271,      -4.038555664,      -1.516907754,      -1.556618404,       1.407656255,      -8.197086476
          0,           0,         272,      -4.038377274,       -1.52088237,      -1.553871573,       1.408961445,      -8.196834941
          0,           0,         273,      -4.038425401,      -1.526257746,      -1.552313434,       1.410190614,       -8.19668617
          0,           0,         274,      -4.038514968,      -1.533202741,      -1.552264002,       1.411510894,      -8.196632345
          0,           0,         275,      -4.039009194,      -1.541577967,      -1.553375299,       1.412506882,      -8.196676729
          0,           0,         276,      -4.039555736,      -1.551190086,      -1.555652983,       1.413537064,      -8.196783757
          0,           0,         277,      -4.040363338,      -1.562325741,      -1.559419821,       1.414347532,      -8.197018413
          0,           0,         278,      -4.041262751,      -1.575079485,      -1.564984919,       1.415081577,      -8.197286789
          0,           0,         279,       -4.04256195,       -1.58896866,      -1.571609134,       1.415401292,      -8.197567877
          0,           0,         280,      -4.044146619,      -1.603822442,      -1.579255906,       1.415404609,      -8.197838978
          0,           0,         281,      -4.045975283,       -1.61960878,      -1.588085838,       1.415117264,      -8.198114201
          0,           0,         282,      -4.048011504,      -1.635768712,      -1.597706218,       1.414567034,      -8.198323224
